Wine Name,Grape,Popularity,Score,Avg Price(nzd)
"Kumeu River Mate's Vineyard Chardonnay, Kumeu, NZ",Chardonnay,342,93,84
"Cloudy Bay Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,485,90,41
"Ata Rangi Pinot Noir, Martinborough, NZ",Pinot Noir,701,93,90
"Te Mata Estate Coleraine, Hawke's Bay, NZ",Bordeaux Blend,837,93,109
"Kumeu River Estate Chardonnay, Kumeu, NZ",Chardonnay,1041,91,43
"Stonyridge Vineyard Larose, Waiheke Island, NZ",Bordeaux Blend,1131,92,318
"Felton Road Bannockburn Pinot Noir, Bannockburn, NZ",Pinot Noir,1268,91,76
"Kumeu River Hunting Hill Chardonnay, Kumeu, NZ",Chardonnay,1577,93,74
"Kim Crawford Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,1657,87,23
"Oyster Bay Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,1724,86,18
"Dog Point Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,1922,90,29
"Cloudy Bay Te Koko Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,2109,91,74
"Burn Cottage Pinot Noir, Central Otago, NZ",Pinot Noir,2304,92,86
"Allan Scott Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,2408,87,20
"Cloudy Bay Pinot Noir, Marlborough, NZ",Pinot Noir,2421,90,55
"Felton Road Block 3 Pinot Noir, Bannockburn, NZ",Pinot Noir,2502,93,144
"Felton Road Block 5 Pinot Noir, Bannockburn, NZ",Pinot Noir,2586,92,146
"Craggy Range Te Muna Road Vineyard Pinot Noir,Martinborough, NZ",Pinot Noir,2634,90,53
"Kumeu River Coddington Chardonnay, Kumeu, NZ",Chardonnay,2740,91,57
"Kusuda Pinot Noir, Martinborough, NZ",Pinot Noir,2740,93,304
"Villa Maria Private Bin Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,3100,87,18
"Craggy Range Le Sol Syrah, Gimblett Gravels, NZ",Syrah,3337,93,121
"Whitehaven Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,3433,88,25
"Cloudy Bay Chardonnay, Marlborough, NZ",Chardonnay,3538,90,45
"Escarpment Kupe Pinot Noir, Martinborough, NZ",Pinot Noir,3554,92,105
"Mud House Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,3651,88,18
"Saint Clair Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,3674,88,27
"Craggy Range Sophia Merlot, Gimblett Gravels, NZ",Bordeaux Blend,3738,92,103
"Greywacke Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,3773,90,31
"Bell Hill Pinot Noir, Canterbury, NZ",Pinot Noir,3837,93,197
"Kumeu River Village Chardonnay, Kumeu, NZ",Chardonnay,3905,89,27
"Dry River Pinot Noir, Martinborough, NZ",Pinot Noir,3931,92,111
"Babich Wines Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,3961,87,20
"Cloudy Bay Te Wahi Pinot Noir, Central Otago, NZ",Pinot Noir,3980,90,107
"Dog Point Vineyard Section 94 Sauvignon Blanc, Marlborough,NZ",Sauvignon Blanc,4035,91,43
"Matua Valley Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,4085,87,16
"Brancott Estate Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,4116,87,16
"Rippon Mature Vines Pinot Noir, Wanaka, NZ",Pinot Noir,4189,91,68
"Craggy Range Te Muna Road Vineyard Sauvignon Blanc,Martinborough, NZ",Sauvignon Blanc,4357,89,29
"Greywacke Wild Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,4373,92,43
"Spy Valley Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,4464,89,23
"Pegasus Bay Pinot Noir, Waipara Valley, NZ",Pinot Noir,4485,91,55
"Mt. Difficulty Pinot Noir, Bannockburn, NZ",Pinot Noir,4712,89,43
"Felton Road Calvert Pinot Noir, Bannockburn, NZ",Pinot Noir,4734,92,90
"Dog Point Pinot Noir, Marlborough, NZ",Pinot Noir,4868,91,51
"Giesen Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,4933,87,16
"Craggy Range Te Kahu, Gimblett Gravels, NZ",Bordeaux Blend,4948,89,33
"Felton Road Cornish Point Pinot Noir, Bannockburn, NZ",Pinot Noir,4967,92,92
"Valli Gibbston Vineyards Pinot Noir, Gibbston, NZ",Pinot Noir,5110,91,70
"Craggy Range Aroha Pinot Noir, Martinborough, NZ",Pinot Noir,5124,92,115
"Yealands Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,5591,87,18
"Te Mata Estate Awatea Cabernets - Merlot, Hawke's Bay, NZ",Bordeaux Blend,5652,91,41
"Taonga Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,5667,88,20
"Stoneleigh Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,5704,86,18
"Makaraka Estate Sauvignon Blanc, NZ",Sauvignon Blanc,5738,87,14
"Hans Greyl Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,5881,86,16
"Lawson's Dry Hills Pinot Noir, Marlborough, NZ",Pinot Noir,5881,86,27
"Craggy Range Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,6067,89,27
"Wither Hills Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,6173,87,18
"Greywacke Pinot Noir, Marlborough, NZ",Pinot Noir,6173,90,53
"Amisfield Pinot Noir, Central Otago, NZ",Pinot Noir,6333,90,49
"Sileni Estates Cellar Selection Sauvignon Blanc,Marlborough, NZ",Sauvignon Blanc,6546,87,18
"Church Road Tom Merlot - Cabernet Sauvignon, Hawke's Bay, NZ",Bordeaux Blend,6562,92,199
"Loveblock Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,6715,89,29
"Trinity Hill Homage Syrah, Gimblett Gravels, NZSyrah",Syrah,6869,93,129
"Kono Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,6933,87,20
"Peregrine Pinot Noir, Central Otago, NZ",Pinot Noir,7021,89,47
"Nobilo Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,7168,86,16
"Esk Valley The Terraces, Hawke's Bay, NZ",Bordeaux Blend,7272,92,133
"Dashwood Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,7309,87,18
"Dog Point Chardonnay, Marlborough, NZ",Chardonnay,7549,91,41
"Nautilus Estate Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,7604,89,21
"Mud House Pinot Noir, Central Otago, NZ",Pinot Noir,7660,87,23
"Oyster Bay Pinot Noir, Marlborough, NZ",Pinot Noir,7732,86,21
"Wairau River Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,7841,88,20
"Squealing Pig Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,7869,87,16
"Pa Road Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,8263,88,14
"Baron Edmond de Rothschild 'Rimapere' Single Vineyard,Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,8440,89,29
"Burn Cottage Moonlight Race Pinot Noir, Central Otago, NZ",Pinot Noir,8473,91,61
"Invivo X SJP Sarah Jessica Parker Sauvignon Blanc, Marlborough,NZ",Sauvignon Blanc,8528,88,23
"Ant Moore Estate Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,8565,88,20
"Auntsfield Single Vineyard Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,8601,89,27
"Misha's Vineyard The High Note Pinot Noir, Central Otago, NZ",Pinot Noir,8601,90,49
"Ata Rangi 'Crimson' Pinot Noir, Martinborough, NZ",Pinot Noir,8660,89,39
"Brancott Estate 'Flight Song' Sauvignon Blanc, NZ",Sauvignon Blanc,8660,85,16
"Two Paddocks Pinot Noir, Central Otago, NZ",Pinot Noir,8688,90,55
"Te Mata Estate Vineyards Syrah, Hawke's Bay, NZ",Syrah,8810,89,23
"Te Mata Estate Bullnose Syrah, Hawke's Bay, NZ",Syrah,8890,91,64
"Man O' War Dreadnought Syrah, Waiheke Island, NZ",Syrah,8890,90,53
"Russian Jack Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,8996,87,18
"Pounamu Special Selection Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,9024,85,23
"Destiny Bay 'Magna Praemia', Waiheke Island, NZ",Bordeaux Blend,9055,93,486
"Fernlands Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,9055,88,16
"Astrolabe Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,9099,89,25
"Pegasus Bay Prima Donna Pinot Noir, Waipara, NZ",Pinot Noir,9134,92,103
"The Ned Waihopai River Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,9172,88,18
"Escarpment Pinot Noir, Martinborough, NZ",Pinot Noir,9273,90,45
"Palliser Estate Pinot Noir, Martinborough, NZ",Pinot Noir,9273,89,49
"The Pass Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,9314,88,14
"Villa Maria Private Bin Pinot Noir, Marlborough, NZ",Pinot Noir,9479,87,23
"Tinpot Hut Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,9479,87,23
"Ti Point Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,9857,87,18
